ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Animal
2013-07-14,260.4184800672781,69.42159099060332,436.3072136612512,260.4184800672781,260.4184800672781,-2.457685876564352,-2.457685876564352,-2.457685876564352,-9.110896302260551,-9.110896302260551,-9.110896302260551,6.653210425696201,6.653210425696201,6.653210425696201,0.0,0.0,0.0,257.9607941907138,Cow
2013-07-16,260.4077918731153,73.64341970905502,443.9706961365386,260.4077918731153,260.4077918731153,7.064285056328051,7.064285056328051,7.064285056328051,3.4540449798137334,3.4540449798137334,3.4540449798137334,3.610240076514319,3.610240076514319,3.610240076514319,0.0,0.0,0.0,267.47207692944335,Cow
2013-07-20,260.38641548478967,53.22083792949772,429.8147840836895,260.38641548478967,260.38641548478967,-12.202854104475929,-12.202854104475929,-12.202854104475929,-8.480888624807825,-8.480888624807825,-8.480888624807825,-3.721965479668103,-3.721965479668103,-3.721965479668103,0.0,0.0,0.0,248.18356138031373,Cow
2013-07-22,260.3757272906269,58.9012147651834,428.8474897305688,260.3757272906269,260.3757272906269,-7.782801937498488,-7.782801937498488,-7.782801937498488,-0.340295877853138,-0.340295877853138,-0.340295877853138,-7.44250605964535,-7.44250605964535,-7.44250605964535,0.0,0.0,0.0,252.59292535312844,Cow
2013-07-28,260.3436627081385,58.80039655975413,413.0502842051637,260.3436627081385,260.3436627081385,-24.56322145617384,-24.56322145617384,-24.56322145617384,-9.110896302259963,-9.110896302259963,-9.110896302259963,-15.452325153913876,-15.452325153913876,-15.452325153913876,0.0,0.0,0.0,235.78044125196465,Cow
2013-07-30,260.3329745139756,62.51598449180906,435.6744838426623,260.3329745139756,260.3329745139756,-12.908870694394937,-12.908870694394937,-12.908870694394937,3.4540449798244177,3.4540449798244177,3.4540449798244177,-16.362915674219355,-16.362915674219355,-16.362915674219355,0.0,0.0,0.0,247.4241038195807,Cow
2013-08-01,260.32228631981286,47.82697320079947,429.9246805143492,260.32228631981286,260.32228631981286,-9.75841733351627,-9.75841733351627,-9.75841733351627,6.45730450999936,6.45730450999936,6.45730450999936,-16.215721843515627,-16.215721843515627,-16.215721843515627,0.0,0.0,0.0,250.5638689862966,Cow
2013-08-13,260.258157154836,88.93155142910193,457.1052523877762,260.258157154836,260.258157154836,3.1637083767883776,3.1637083767883776,3.1637083767883776,3.4540449798191566,3.4540449798191566,3.4540449798191566,-0.2903366030307792,-0.2903366030307792,-0.2903366030307792,0.0,0.0,0.0,263.42186553162435,Cow
2013-08-16,260.24212486359176,70.16859860418384,452.05527103829326,260.24212486359176,260.24212486359176,0.962002366522383,0.962002366522383,0.962002366522383,-2.43187791935774,-2.43187791935774,-2.43187791935774,3.3938802858801225,3.3938802858801225,3.3938802858801225,0.0,0.0,0.0,261.2041272301141,Cow
2013-08-18,260.231436669429,77.12433819652605,440.0144803057492,260.231436669429,260.231436669429,-4.388487325086472,-4.388487325086472,-4.388487325086472,-9.11089630225725,-9.11089630225725,-9.11089630225725,4.722408977170778,4.722408977170778,4.722408977170778,0.0,0.0,0.0,255.84294934434251,Cow
2013-08-21,260.2154043781848,81.37783262124535,455.9216186110871,260.2154043781848,260.2154043781848,15.02155998329828,15.02155998329828,15.02155998329828,10.45260923448562,10.45260923448562,10.45260923448562,4.56895074881266,4.56895074881266,4.56895074881266,0.0,0.0,0.0,275.23696436148305,Cow
2013-08-23,260.20471618402195,73.2893039681056,437.8971761104222,260.20471618402195,260.20471618402195,0.5110504726423725,0.5110504726423725,0.5110504726423725,-2.4318779193674485,-2.4318779193674485,-2.4318779193674485,2.942928392009821,2.942928392009821,2.942928392009821,0.0,0.0,0.0,260.7157666566643,Cow
2013-08-27,260.1833397956963,80.35084414352164,439.4719712814762,260.1833397956963,260.1833397956963,-0.156936127618822,-0.156936127618822,-0.156936127618822,3.4540449798138955,3.4540449798138955,3.4540449798138955,-3.6109811074327176,-3.6109811074327176,-3.6109811074327176,0.0,0.0,0.0,260.0264036680775,Cow
2013-09-04,260.1405870190451,59.12950810742586,416.71875246913135,260.1405870190451,260.1405870190451,-12.23091965229456,-12.23091965229456,-12.23091965229456,10.452609234488609,10.452609234488609,10.452609234488609,-22.68352888678317,-22.68352888678317,-22.68352888678317,0.0,0.0,0.0,247.9096673667505,Cow
2013-09-18,260.0657696599054,56.429728920570064,421.7469972470066,260.0657696599054,260.0657696599054,-17.17768901577525,-17.17768901577525,-17.17768901577525,10.452609234480438,10.452609234480438,10.452609234480438,-27.630298250255688,-27.630298250255688,-27.630298250255688,0.0,0.0,0.0,242.88808064413016,Cow
2013-09-19,260.0604257052814,60.27553989201474,421.4945914910019,260.0604257052814,260.0604257052814,-19.557664427508406,-19.557664427508406,-19.557664427508406,6.4573045100116175,6.4573045100116175,6.4573045100116175,-26.014968937520024,-26.014968937520024,-26.014968937520024,0.0,0.0,0.0,240.50276127777295,Cow
2013-09-20,260.0550817506573,49.78030178005711,411.9178996545209,260.0550817506573,260.0550817506573,-26.684329250182245,-26.684329250182245,-26.684329250182245,-2.43187791937558,-2.43187791937558,-2.43187791937558,-24.252451330806664,-24.252451330806664,-24.252451330806664,0.0,0.0,0.0,233.37075250047505,Cow
2013-09-22,260.04439384140915,29.036704265599404,415.28593871992285,260.04439384140915,260.04439384140915,-29.5431876668125,-29.5431876668125,-29.5431876668125,-9.110896302265692,-9.110896302265692,-9.110896302265692,-20.432291364546806,-20.432291364546806,-20.432291364546806,0.0,0.0,0.0,230.50120617459663,Cow
